sequence_number,naics_code,naics_title,sector_code,sector_name,prompt,response,prompt_tokens,completion_tokens,total_tokens
953,4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers ",42,Wholesale Trade,"NAICS Code: 4237 - Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",506,10,516
962,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers ",42,Wholesale Trade,"NAICS Code: 4238 - Machinery, Equipment, and Supplies Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",500,10,510
975,4239,Miscellaneous Durable Goods Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4239 - Miscellaneous Durable Goods Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",501,10,511
987,4241,Paper and Paper Product Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4241 - Paper and Paper Product Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
994,4242,Drugs and Druggists' Sundries Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4242 - Drugs and Druggists' Sundries Merchant Wholesalers 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",503,19,522
997,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers ",42,Wholesale Trade,"NAICS Code: 4243 - Apparel, Piece Goods, and Notions Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",505,10,515
1004,4244,Grocery and Related Product Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4244 - Grocery and Related Product Merchant Wholesalers 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",497,18,515
1023,4245,Farm Product Raw Material Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4245 - Farm Product Raw Material Merchant Wholesalers 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",496,18,514
1030,4246,Chemical and Allied Products Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4246 - Chemical and Allied Products Merchant Wholesalers 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Chemical Sector.",496,16,512
1035,4247,Petroleum and Petroleum Products Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4247 - Petroleum and Petroleum Products Merchant Wholesalers 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",498,16,514
1040,4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers ",42,Wholesale Trade,"NAICS Code: 4248 - Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",506,10,516
1045,4249,Miscellaneous Nondurable Goods Merchant Wholesalers ,42,Wholesale Trade,"NAICS Code: 4249 - Miscellaneous Nondurable Goods Merchant Wholesalers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",502,10,512
1059,4251,Wholesale Trade Agents and Brokers ,42,Wholesale Trade,"NAICS Code: 4251 - Wholesale Trade Agents and Brokers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",495,10,505
1064,4411,Automobile Dealers ,44,,"NAICS Code: 4411 - Automobile Dealers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
1069,4412,Other Motor Vehicle Dealers ,44,,"NAICS Code: 4412 - Other Motor Vehicle Dealers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
1075,4413,"Automotive Parts, Accessories, and Tire Retailers ",44,,"NAICS Code: 4413 - Automotive Parts, Accessories, and Tire Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",498,10,508
1081,4441,Building Material and Supplies Dealers ,44,,"NAICS Code: 4441 - Building Material and Supplies Dealers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1090,4442,Lawn and Garden Equipment and Supplies Retailers ,44,,"NAICS Code: 4442 - Lawn and Garden Equipment and Supplies Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
1096,4451,Grocery and Convenience Retailers ,44,,"NAICS Code: 4451 - Grocery and Convenience Retailers 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",493,18,511
1102,4452,Specialty Food Retailers ,44,,"NAICS Code: 4452 - Specialty Food Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
1113,4453,"Beer, Wine, and Liquor Retailers ",44,,"NAICS Code: 4453 - Beer, Wine, and Liquor Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
1117,4491,Furniture and Home Furnishings Retailers ,44,,"NAICS Code: 4491 - Furniture and Home Furnishings Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
1124,4492,Electronics and Appliance Retailers ,44,,"NAICS Code: 4492 - Electronics and Appliance Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1128,4551,Department Stores ,45,,"NAICS Code: 4551 - Department Stores 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
1131,4552,"Warehouse Clubs, Supercenters, and Other General Merchandise Retailers ",45,,"NAICS Code: 4552 - Warehouse Clubs, Supercenters, and Other General Merchandise Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",503,10,513
1136,4561,Health and Personal Care Retailers ,45,,"NAICS Code: 4561 - Health and Personal Care Retailers 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",492,19,511
1147,4571,Gasoline Stations ,45,,"NAICS Code: 4571 - Gasoline Stations 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",491,16,507
1152,4572,Fuel Dealers,45,,"NAICS Code: 4572 - Fuel Dealers

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",489,16,505
1156,4581,Clothing and Clothing Accessories Retailers ,45,,"NAICS Code: 4581 - Clothing and Clothing Accessories Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",495,10,505
1159,4582,Shoe Retailers ,45,,"NAICS Code: 4582 - Shoe Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
1162,4583,"Jewelry, Luggage, and Leather Goods Retailers ",45,,"NAICS Code: 4583 - Jewelry, Luggage, and Leather Goods Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",500,10,510
1168,4591,"Sporting Goods, Hobby, and Musical Instrument Retailers ",45,,"NAICS Code: 4591 - Sporting Goods, Hobby, and Musical Instrument Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",500,10,510
1177,4592,Book Retailers and News Dealers ,45,,"NAICS Code: 4592 - Book Retailers and News Dealers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1180,4593,Florists ,45,,"NAICS Code: 4593 - Florists 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
1183,4594,"Office Supplies, Stationery, and Gift Retailers ",45,,"NAICS Code: 4594 - Office Supplies, Stationery, and Gift Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",499,10,509
1188,4595,Used Merchandise Retailers ,45,,"NAICS Code: 4595 - Used Merchandise Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
1191,4599,Other Miscellaneous Retailers ,45,,"NAICS Code: 4599 - Other Miscellaneous Retailers 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1203,4811,Scheduled Air Transportation,48,,"NAICS Code: 4811 - Scheduled Air Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",489,17,506
1207,4812,Nonscheduled Air Transportation,48,,"NAICS Code: 4812 - Nonscheduled Air Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",492,17,509
1213,4821,Rail Transportation,48,,"NAICS Code: 4821 - Rail Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",487,17,504
1218,4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",48,,"NAICS Code: 4831 - Deep Sea, Coastal, and Great Lakes Water Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",496,17,513
1224,4832,Inland Water Transportation,48,,"NAICS Code: 4832 - Inland Water Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",489,17,506
1229,4841,General Freight Trucking,48,,"NAICS Code: 4841 - General Freight Trucking

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",491,17,508
1235,4842,Specialized Freight Trucking,48,,"NAICS Code: 4842 - Specialized Freight Trucking

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",492,17,509
1243,4851,Urban Transit Systems,48,,"NAICS Code: 4851 - Urban Transit Systems

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",488,17,505
1249,4852,Interurban and Rural Bus Transportation,48,,"NAICS Code: 4852 - Interurban and Rural Bus Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",493,17,510
1252,4853,Taxi and Limousine Service,48,,"NAICS Code: 4853 - Taxi and Limousine Service

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1257,4854,School and Employee Bus Transportation,48,,"NAICS Code: 4854 - School and Employee Bus Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",490,17,507
1260,4855,Charter Bus Industry,48,,"NAICS Code: 4855 - Charter Bus Industry

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1263,4859,Other Transit and Ground Passenger Transportation,48,,"NAICS Code: 4859 - Other Transit and Ground Passenger Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",492,17,509
1268,4861,Pipeline Transportation of Crude Oil,48,,"NAICS Code: 4861 - Pipeline Transportation of Crude Oil

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",491,16,507
1271,4862,Pipeline Transportation of Natural Gas,48,,"NAICS Code: 4862 - Pipeline Transportation of Natural Gas

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",490,16,506
1274,4869,Other Pipeline Transportation,48,,"NAICS Code: 4869 - Other Pipeline Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Energy Sector.",488,16,504
1280,4871,"Scenic and Sightseeing Transportation, Land",48,,"NAICS Code: 4871 - Scenic and Sightseeing Transportation, Land

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
1283,4872,"Scenic and Sightseeing Transportation, Water",48,,"NAICS Code: 4872 - Scenic and Sightseeing Transportation, Water

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
1286,4879,"Scenic and Sightseeing Transportation, Other",48,,"NAICS Code: 4879 - Scenic and Sightseeing Transportation, Other

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
1290,4881,Support Activities for Air Transportation,48,,"NAICS Code: 4881 - Support Activities for Air Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",490,17,507
1296,4882,Support Activities for Rail Transportation,48,,"NAICS Code: 4882 - Support Activities for Rail Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",490,17,507
1299,4883,Support Activities for Water Transportation,48,,"NAICS Code: 4883 - Support Activities for Water Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",490,17,507
1308,4884,Support Activities for Road Transportation,48,,"NAICS Code: 4884 - Support Activities for Road Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",490,17,507
1313,4885,Freight Transportation Arrangement,48,,"NAICS Code: 4885 - Freight Transportation Arrangement

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",490,17,507
1316,4889,Other Support Activities for Transportation,48,,"NAICS Code: 4889 - Other Support Activities for Transportation

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",490,17,507
1321,4911,Postal Service,49,,"NAICS Code: 4911 - Postal Service

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Communications Sector.",488,16,504
1325,4921,Couriers and Express Delivery Services,49,,"NAICS Code: 4921 - Couriers and Express Delivery Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Transportation Systems Sector.",493,17,510
1328,4922,Local Messengers and Local Delivery,49,,"NAICS Code: 4922 - Local Messengers and Local Delivery

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1332,4931,Warehousing and Storage,49,,"NAICS Code: 4931 - Warehousing and Storage

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
1343,5121,Motion Picture and Video Industries,51,Information,"NAICS Code: 5121 - Motion Picture and Video Industries

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
1354,5122,Sound Recording Industries,51,Information,"NAICS Code: 5122 - Sound Recording Industries

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1364,5131,"Newspaper, Periodical, Book, and Directory Publishers",51,Information,"NAICS Code: 5131 - Newspaper, Periodical, Book, and Directory Publishers

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",497,10,507
1376,5132,Software Publishers,51,Information,"NAICS Code: 5132 - Software Publishers

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Information Technology Sector.",487,17,504
1380,5161,Radio and Television Broadcasting Stations,51,Information,"NAICS Code: 5161 - Radio and Television Broadcasting Stations

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Communications Sector.",491,16,507
1385,5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",51,Information,"NAICS Code: 5162 - Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Communications Sector.",502,16,518
1389,5171,Wired and Wireless Telecommunications (except Satellite),51,Information,"NAICS Code: 5171 - Wired and Wireless Telecommunications (except Satellite)

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Communications Sector.",498,16,514
1396,5174,Satellite Telecommunications,51,Information,"NAICS Code: 5174 - Satellite Telecommunications

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Communications Sector.",489,16,505
1399,5178,All Other Telecommunications,51,Information,"NAICS Code: 5178 - All Other Telecommunications

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Communications Sector.",489,16,505
1403,5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",51,Information,"NAICS Code: 5182 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Information Technology Sector.",500,17,517
1407,5192,"Web Search Portals, Libraries, Archives, and Other Information Services",51,Information,"NAICS Code: 5192 - Web Search Portals, Libraries, Archives, and Other Information Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Information Technology Sector.",499,17,516
1414,5211,Monetary Authorities-Central Bank,52,Finance and Insurance,"NAICS Code: 5211 - Monetary Authorities-Central Bank

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",492,17,509
1418,5221,Depository Credit Intermediation ,52,Finance and Insurance,"NAICS Code: 5221 - Depository Credit Intermediation 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",493,17,510
1425,5222,Nondepository Credit Intermediation ,52,Finance and Insurance,"NAICS Code: 5222 - Nondepository Credit Intermediation 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",495,17,512
1434,5223,Activities Related to Credit Intermediation ,52,Finance and Insurance,"NAICS Code: 5223 - Activities Related to Credit Intermediation 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",493,17,510
1442,5231,Securities and Commodity Contracts Intermediation and Brokerage,52,Finance and Insurance,"NAICS Code: 5231 - Securities and Commodity Contracts Intermediation and Brokerage

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",499,17,516
1447,5232,Securities and Commodity Exchanges,52,Finance and Insurance,"NAICS Code: 5232 - Securities and Commodity Exchanges

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",491,17,508
1450,5239,Other Financial Investment Activities,52,Finance and Insurance,"NAICS Code: 5239 - Other Financial Investment Activities

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",489,17,506
1459,5241,Insurance Carriers,52,Finance and Insurance,"NAICS Code: 5241 - Insurance Carriers

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",488,17,505
1469,5242,"Agencies, Brokerages, and Other Insurance Related Activities",52,Finance and Insurance,"NAICS Code: 5242 - Agencies, Brokerages, and Other Insurance Related Activities

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",498,17,515
1477,5251,Insurance and Employee Benefit Funds ,52,Finance and Insurance,"NAICS Code: 5251 - Insurance and Employee Benefit Funds 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",493,17,510
1484,5259,Other Investment Pools and Funds,52,Finance and Insurance,"NAICS Code: 5259 - Other Investment Pools and Funds

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Financial Services Sector.",492,17,509
1493,5311,Lessors of Real Estate,53,Real Estate and Rental and Leasing,"NAICS Code: 5311 - Lessors of Real Estate

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
1502,5312,Offices of Real Estate Agents and Brokers,53,Real Estate and Rental and Leasing,"NAICS Code: 5312 - Offices of Real Estate Agents and Brokers

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",496,10,506
1505,5313,Activities Related to Real Estate,53,Real Estate and Rental and Leasing,"NAICS Code: 5313 - Activities Related to Real Estate

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
1514,5321,Automotive Equipment Rental and Leasing,53,Real Estate and Rental and Leasing,"NAICS Code: 5321 - Automotive Equipment Rental and Leasing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
1520,5322,Consumer Goods Rental,53,Real Estate and Rental and Leasing,"NAICS Code: 5322 - Consumer Goods Rental

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
1529,5323,General Rental Centers,53,Real Estate and Rental and Leasing,"NAICS Code: 5323 - General Rental Centers

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
1532,5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,53,Real Estate and Rental and Leasing,"NAICS Code: 5324 - Commercial and Industrial Machinery and Equipment Rental and Leasing

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",498,10,508
1541,5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),53,Real Estate and Rental and Leasing,"NAICS Code: 5331 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",507,10,517
1546,5411,Legal Services,54,"Professional, Scientific, and Technical Services","NAICS Code: 5411 - Legal Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",487,10,497
1554,5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",54,"Professional, Scientific, and Technical Services","NAICS Code: 5412 - Accounting, Tax Preparation, Bookkeeping, and Payroll Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",502,10,512
1560,5413,"Architectural, Engineering, and Related Services",54,"Professional, Scientific, and Technical Services","NAICS Code: 5413 - Architectural, Engineering, and Related Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1577,5414,Specialized Design Services,54,"Professional, Scientific, and Technical Services","NAICS Code: 5414 - Specialized Design Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",489,10,499
1586,5415,Computer Systems Design and Related Services,54,"Professional, Scientific, and Technical Services","NAICS Code: 5415 - Computer Systems Design and Related Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Information Technology Sector.",491,17,508
1592,5416,"Management, Scientific, and Technical Consulting Services",54,"Professional, Scientific, and Technical Services","NAICS Code: 5416 - Management, Scientific, and Technical Consulting Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
1603,5417,Scientific Research and Development Services,54,"Professional, Scientific, and Technical Services","NAICS Code: 5417 - Scientific Research and Development Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Defense Industrial Base Sector.",490,18,508
1610,5418,"Advertising, Public Relations, and Related Services",54,"Professional, Scientific, and Technical Services","NAICS Code: 5418 - Advertising, Public Relations, and Related Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",494,10,504
1627,5419,"Other Professional, Scientific, and Technical Services",54,"Professional, Scientific, and Technical Services","NAICS Code: 5419 - Other Professional, Scientific, and Technical Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1641,5511,Management of Companies and Enterprises,55,Management of Companies and Enterprises,"NAICS Code: 5511 - Management of Companies and Enterprises

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
1648,5611,Office Administrative Services,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5611 - Office Administrative Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1651,5612,Facilities Support Services,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5612 - Facilities Support Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Government Facilities Sector.",489,18,507
1654,5613,Employment Services,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5613 - Employment Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",487,10,497
1662,5614,Business Support Services,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5614 - Business Support Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1679,5615,Travel Arrangement and Reservation Services,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5615 - Travel Arrangement and Reservation Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",492,10,502
1687,5616,Investigation and Security Services,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5616 - Investigation and Security Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Emergency Services Sector.",489,17,506
1695,5617,Services to Buildings and Dwellings,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5617 - Services to Buildings and Dwellings

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1706,5619,Other Support Services,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5619 - Other Support Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1714,5621,Waste Collection ,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5621 - Waste Collection 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Water and Wastewater Systems Sector.",489,22,511
1719,5622,Waste Treatment and Disposal ,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5622 - Waste Treatment and Disposal 

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Water and Wastewater Systems Sector.",492,22,514
1725,5629,Remediation and Other Waste Management Services ,56,Administrative and Support and Waste Management and Remediation Services,"NAICS Code: 5629 - Remediation and Other Waste Management Services 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",495,10,505
1735,6111,Elementary and Secondary Schools,61,Educational Services,"NAICS Code: 6111 - Elementary and Secondary Schools

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Government Facilities Sector.",489,18,507
1738,6112,Junior Colleges,61,Educational Services,"NAICS Code: 6112 - Junior Colleges

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1741,6113,"Colleges, Universities, and Professional Schools",61,Educational Services,"NAICS Code: 6113 - Colleges, Universities, and Professional Schools

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",493,10,503
1744,6114,Business Schools and Computer and Management Training,61,Educational Services,"NAICS Code: 6114 - Business Schools and Computer and Management Training

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",492,10,502
1751,6115,Technical and Trade Schools ,61,Educational Services,"NAICS Code: 6115 - Technical and Trade Schools 

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
1757,6116,Other Schools and Instruction,61,Educational Services,"NAICS Code: 6116 - Other Schools and Instruction

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",490,10,500
1768,6117,Educational Support Services,61,Educational Services,"NAICS Code: 6117 - Educational Support Services

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",488,10,498
1773,6211,Offices of Physicians,62,Health Care and Social Assistance,"NAICS Code: 6211 - Offices of Physicians

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",490,19,509
1777,6212,Offices of Dentists,62,Health Care and Social Assistance,"NAICS Code: 6212 - Offices of Dentists

Is this a Critical Infrastructure sector?","No, not critical national infrastructure.",491,10,501
1780,6213,Offices of Other Health Practitioners,62,Health Care and Social Assistance,"NAICS Code: 6213 - Offices of Other Health Practitioners

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",492,19,511
1792,6214,Outpatient Care Centers,62,Health Care and Social Assistance,"NAICS Code: 6214 - Outpatient Care Centers

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",491,19,510
1802,6215,Medical and Diagnostic Laboratories,62,Health Care and Social Assistance,"NAICS Code: 6215 - Medical and Diagnostic Laboratories

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",491,19,510
1806,6216,Home Health Care Services,62,Health Care and Social Assistance,"NAICS Code: 6216 - Home Health Care Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",489,19,508
1809,6219,Other Ambulatory Health Care Services,62,Health Care and Social Assistance,"NAICS Code: 6219 - Other Ambulatory Health Care Services

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",492,19,511
1816,6221,General Medical and Surgical Hospitals,62,Health Care and Social Assistance,"NAICS Code: 6221 - General Medical and Surgical Hospitals

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",492,19,511
1819,6222,Psychiatric and Substance Abuse Hospitals,62,Health Care and Social Assistance,"NAICS Code: 6222 - Psychiatric and Substance Abuse Hospitals

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Healthcare and Public Health Sector.",494,19,513
